,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Categories,Suburb
103,Mitchell Shire Council,Willowmavin Parish,144.92013889999996,-37.2759722,,,"['Mitchell Shire Council', 'Kilmore', 'Worship', 'Parish', 'Christian']",Kilmore
104,Mitchell Shire Council,Worrough Parish,145.28625,-37.05375,"Name of Thomas Brown's pastoral station in the 1840s. Possibly of Aboriginal origin but not listed in Clark and Heydon, Aboriginal Placenames of Victoria (2002).",,"['Mitchell Shire Council', 'Whiteheads Creek', 'Worship', 'Parish', 'Christian']",Whiteheads Creek
105,Glen Eira City Council,Prahran Parish,145.04097219999997,-37.8754167,"Traditional Name: Birr-arrung Explanation: mist,  land partially surrounded by water Discussion on Current Name: George Langhorne reported Pur-ra-ran, Purraran as n which was misspelt by Hoddle,  Langhorne in Cooper 1912: 7-8.",http://www.vaclang.org.au,"['Glen Eira City Council', 'Caulfield East', 'Worship', 'Parish', 'Christian']",Caulfield East
106, Melbourne City Council,St Francis Church,144.9624226,-37.81188478,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
107, Melbourne City Council,Wesley Church,144.96816819999995,-37.81015764,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
108, Melbourne City Council,St Augustines Church,144.95486200000005,-37.81697414,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
109, Melbourne City Council,St James Church,144.9524686,-37.81012812,,,"[' Melbourne City Council', 'West Melbourne', 'Worship', 'Church', 'Christian']",West Melbourne
110, Melbourne City Council,St Mary's Anglican Church,144.9537615,-37.80316637,,,"[' Melbourne City Council', 'North Melbourne', 'Worship', 'Church', 'Christian']",North Melbourne
111, Melbourne City Council,Romanian Orthodox,144.9669864,-37.80523073,,,"[' Melbourne City Council', 'Carlton', 'Worship']",Carlton
112, Melbourne City Council,Welsh Presbyterian Church,144.9598733,-37.81044788,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
113, Melbourne City Council,Church of Christ,144.9638892,-37.81045241,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
114, Melbourne City Council,Scots Church,144.96855109999996,-37.81456878,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
115, Melbourne City Council,St Michael's Uniting Church,144.969174,-37.81438513,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
116, Melbourne City Council,Greek Orthodox Church,144.9782591,-37.80880647,,,"[' Melbourne City Council', 'East Melbourne', 'Worship', 'Church', 'Christian']",East Melbourne
117, Melbourne City Council,St Peter's Eastern Hill,144.97525919999995,-37.80970867,,,"[' Melbourne City Council', 'East Melbourne', 'Worship']",East Melbourne
118, Melbourne City Council,Lutheran Trinity Church,144.9757295,-37.81097571,,,"[' Melbourne City Council', 'East Melbourne', 'Worship', 'Church', 'Christian']",East Melbourne
119, Melbourne City Council,Holy Trinity,144.98319730000003,-37.81406671,,,"[' Melbourne City Council', 'East Melbourne', 'Worship']",East Melbourne
120, Melbourne City Council,St Johns Lutheran Church,144.9671211,-37.82093997,,,"[' Melbourne City Council', 'Southbank', 'Worship', 'Church', 'Christian']",Southbank
121, Melbourne City Council,North Melbourne Uniting,144.9476715,-37.80355385,,,"[' Melbourne City Council', 'North Melbourne', 'Worship']",North Melbourne
122, Melbourne City Council,Melbourne Unitarian Church,144.98466489999996,-37.81144878,,,"[' Melbourne City Council', 'East Melbourne', 'Worship', 'Church', 'Christian']",East Melbourne
123, Melbourne City Council,All Nations Uniting Church,144.9689811,-37.79591553,,,"[' Melbourne City Council', 'Carlton', 'Worship', 'Church', 'Christian']",Carlton
124, Melbourne City Council,Our Lady of Lebanon Church,144.9693347,-37.80257665,,,"[' Melbourne City Council', 'Carlton', 'Worship', 'Church', 'Christian']",Carlton
125, Melbourne City Council,St Michaels,144.9453995,-37.79405127,,,"[' Melbourne City Council', 'North Melbourne', 'Worship']",North Melbourne
126, Melbourne City Council,Ukranian Catholic Cathedral,144.9443135,-37.79630846,,,"[' Melbourne City Council', 'North Melbourne', 'Worship', 'Church', 'Christian']",North Melbourne
127, Melbourne City Council,St Alban Anglican Church,144.9416145,-37.79421695,,,"[' Melbourne City Council', 'North Melbourne', 'Worship', 'Church', 'Christian']",North Melbourne
128, Melbourne City Council,Christ Church Kensington,144.9272957,-37.79321095,,,"[' Melbourne City Council', 'Kensington', 'Worship', 'Church', 'Christian']",Kensington
129, Melbourne City Council,Holy Rosary,144.92836210000004,-37.79480874,,,"[' Melbourne City Council', 'Kensington', 'Worship']",Kensington
130, Melbourne City Council,Collins Street Baptist Church,144.9680725,-37.81470119,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
131, Melbourne City Council,St Thomas Aquinas Church,144.9768091,-37.83530769,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
132, Stonnington City Council,South Yarra Presbyterian Church,144.985627,-37.84074736,,,"[' Stonnington City Council', 'South Yarra', 'Worship', 'Church', 'Christian']",South Yarra
133, Melbourne City Council,The Parish of Christ Church South Yarra,144.9860094,-37.83862705,,,"[' Melbourne City Council', 'South Yarra', 'Worship', 'Parish', 'Christian', 'Church', 'Christian']",South Yarra
134, Melbourne City Council,East Melbourne Synagogue,144.9742219,-37.80911373,,,"[' Melbourne City Council', 'East Melbourne', 'Worship', 'Synagogue', 'Jew']",East Melbourne
135, Melbourne City Council,St Patricks Cathedral,144.9759015,-37.8101141,,,"[' Melbourne City Council', 'East Melbourne', 'Worship', 'Church', 'Christian']",East Melbourne
136, Melbourne City Council,St Pauls Cathedral,144.9676816,-37.8169549,,,"[' Melbourne City Council', 'Melbourne City', 'Worship', 'Church', 'Christian']",Melbourne City
